receipt_id,token_in_address,amount_in,token_out_address,transaction_signer,day
J8AoUcqZhFkDYU4Yh3bfBQbxWkNJtinTNXYaLW1bGhKk,wrap.near,20720669215064877000000000,aurora,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
6dyP1bBHe6NTd49M6GnvewpXHqzYrDfbJosxBkvBDnop,dbio.near,100907774035880728605,wrap.near,castnowski.near,28-08-2022
8HhzJRXyVV18EKUKN1Bmjw8nd9RaTFKFf585Pjz5GuBX,2260fac5e5542a773aa44fbcfedf7c193bc2c599.factory.bridge.near,585970,wrap.near,boobs.zudwa.near,28-08-2022
763SRaeX6dnzRtsh5z5H2wkTz8C9PAu67uWQfgTPtH8q,gear.enleap.near,138530016091659660000,wrap.near,nearnftz.near,28-08-2022
8nQA6oBMGEEbH3GDk7mH1oVHMqw8ZaJ6i1tSwFRkb8hB,usn,5777025462965920800,wrap.near,nearnftz.near,28-08-2022
CDx98w9bTPuubcbvSZUkg8KPghVQcNpcxfXPp7Sdjhiy,token.v2.ref-finance.near,3035391711802132481,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,rizzii.near,28-08-2022
8B3bckjHqzabvTQPEA1BeUPCg2o9F6Nd677BZRZ9EE5o,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,587010800,wrap.near,d53d7b922cecaec8148b1c8b030fb6d78a86b085ed96bf76e152a9c3e46e3a40,28-08-2022
CTR3j5ha3NnseLm1BPVAVsGSkyCNA5WwqcsCjTzsETNZ,dac17f958d2ee523a2206206994597c13d831ec7.factory.bridge.near,1740000000,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
CqKd13AEmcqjJT2n9KVgHnXT7uYNaf2nSn3sL9eEQL4j,usn,946425667089970264783,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,whoismrskill.near,28-08-2022
RwNyrRhaMw59coU1GCYPAvGGAKNs5HnZRu2eySSZWYQ,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,889911008,wrap.near,7c5206b1b75b8787420b09d8697e08180cdf896c5fcf15f6afbf5f33fcc3cf72,28-08-2022
8BGrgxFLcjBefNgTH8oRNbZyTc7d9ScTZGCFDp9tmM8r,token.burrow.near,33601814999670556305341,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,whoismrskill.near,28-08-2022
4smkoc9r5zdYLCf88QWpcQtMSAKMusAvoqDJf5egoVZW,wrap.near,17158798820298591000000000,a0b86991c6218b36c1d19d4a2e9eb0ce3606eb48.factory.bridge.near,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,28-08-2022
885FcbhgkSZMAw1WeHLr36MwUnJZoCgGjKDSgy8qEqdE,wrap.near,13648670617283473500000000,aurora,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,28-08-2022
8oPNvHMkBHb9nK1u3r9zmTXpUaGz3ZBp9V4g6xKkovEC,token.v2.ref-finance.near,23415443054417515193,linear-protocol.near,eassets.near,28-08-2022
4saM1Yhkotg96u2ohuerU4b9wbzhXtzXa2PLrduTtdhc,token.paras.near,979900000000000000000,wrap.near,paypass.near,28-08-2022
