receipt_id,token_in_name,token_out_name,token_in_price,token_out_price,swap_volume_usd,transaction_signer,exchange_name,exchange_type,exchange_timestamp
Dui9DRib5SjjTv5VE9gXR7daexG43cXm8TvKkxYgWUup,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,113.23101,boobs.zudwa.near,ref.finance,POOL,1661738474070802424
7opUDyWK9teCX7HLHzdX9A9B32psxAncab3BSXUcYiuT,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,9.25318,8117b661210cb92918f916631fd636528ca301fc56e20d5be9c316d6f833fbd5,ref.finance,POOL,1661738467572284946
9egNxPb4w9SToBuCf9dK2G9osfyQxvokseHA2P3pL2Pp,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,3.97288,8117b661210cb92918f916631fd636528ca301fc56e20d5be9c316d6f833fbd5,ref.finance,POOL,1661738449152105131
FD7zEynyvJCzHQrLy8Ec8ms9CrP5eYpCqqdaFmomFATV,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,113.23101,boobs.zudwa.near,ref.finance,POOL,1661738446419871206
92TADge5F7br6fiQPVafLQhGVqw3LkgRNgoo6vyQtiNL,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,5.17088,billiondollars.near,ref.finance,POOL,1661738443850032078
3Wd8V4iP4e8FtwbgENMj4GHvkTHdfKPNrru7uBzQrEEw,usn,tether-avalanche-bridged-usdt-e,1.0051516114001107,1.003185111444977,13.06697,packzick.near,ref.finance,POOL,1661738438534777605
4XM2jtrgS8LAkzCmC1tvmjecGv8H6r8ghL6tP5zYENyg,wrapped-near,ethereum-wormhole,3.7743669623571368,1500.5373284480372,28.6967,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661736737081827992
3NsYjRkY1rREwx5erM29CPaEVR1shtqLbV9Xmou8s4VD,wrapped-near,burrow,3.7743669623571368,0.00941233006024526,101.90791,likecolor.near,ref.finance,POOL,1661736707924679761
3vUbkGmNqVJZe64AAPQUg2XKQEpL1X2NHP8fWSRXkYMm,ref-finance,burrow,0.3490445864326606,0.00941233006024526,0.2562,satswassie.near,ref.finance,POOL,1661736682943753715
E3LsPDJz2cPDwvCpMBjBc99zFQi7ooyuJLEhz4hPv73B,pembrock,tether-avalanche-bridged-usdt-e,0.14789375533796817,1.003185111444977,32.06333,rejinderi.near,ref.finance,POOL,1661736520415996165
EcuVfficJA337FejjGJxtsgLNhuZBhKTj7fA5SpCFXst,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,54.44076,22cbf9172b7207e2e68321cccccaea12df30dff16e741892ca159736ec5bb9b0,ref.finance,POOL,1661736514128301659
Fs89wFbvWxpkjiFKxg7eMukkdes9fdEfFoX7z9zgocB9,oraclechain,wrapped-near,0.007617394204798613,3.926304977252688,0.0365,fa45d3f4927711d0e39e85104800807a2d24bc01a26ee56815a829ba0e6b6bfe,ref.finance,POOL,1661736456653132688
HMRYZGMK1PLqWm9pKBD1P1SQq7WrjMLtajzTgt1twejU,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,33.03952,rejinderi.near,ref.finance,POOL,1661736404778871762
9gtTKAU4UWanvVLJaeUw2z5CjSongFRVDcPTQak6MBKW,reflexer-ungovernance-token,wrapped-near,26.316858221219793,3.926304977252688,2820.70808,rejinderi.near,ref.finance,POOL,1661736360436110998
B7BeqmMtw2QDMnoufP5y6V6fhkQRcxVgYwpGXDwtvtwM,usd-coin-avalanche-bridged-usdc-e,allbridge,1.0032859088066581,0.8348750664799891,50.1643,0x1984.near,ref.finance,POOL,1661736256442543718
CTYcaKLfPuaNGumrBsNHAHnscT2Hk3Pif4BuiGoxNfyC,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,1.88718,fa45d3f4927711d0e39e85104800807a2d24bc01a26ee56815a829ba0e6b6bfe,ref.finance,POOL,1661736255276146580
9qR4GBYujsfczco4EN5WwkM3JoXwG1x5czqTCFsvfD4m,wrapped-near,usd-coin-avalanche-bridged-usdc-e,3.7743669623571368,1.0034784753407773,28.44164,9e674d8c4f93884de03fc009e2230e32fb11e99832a00de2f0df051e7158f703,ref.finance,POOL,1661736245302951874
63ea3VbksYWeuffhLxPHht7hst423BJcpk1JX39XXvtj,wrapped-near,usn,3.7743669623571368,0.9992655017845189,127.70199,usn-unofficial.poolowner.near,ref.finance,POOL,1661736198220222716
52Ff9GZf3oMEwBDF3ps2q9AmAv5TgAVrxznXSFyTFFam,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,1.88718,fa45d3f4927711d0e39e85104800807a2d24bc01a26ee56815a829ba0e6b6bfe,ref.finance,POOL,1661736106630147108
HaqkR9YzYUFQwGhnd71L4nDKHZ2fXVUco1KAh9qKGGro,wrapped-near,oraclechain,3.7743669623571368,0.008150099883352463,354.85843,jreive.near,ref.finance,POOL,1661736033060398376
8oFjSDRb9Kkse4cTE3Yub3Q5kpaZ4vJn682zJWTx2Wqh,staked-near,wrapped-near,4.2042925096610935,3.926304977252688,1508.493,a9a8c90941c5e3422f81bc34a208af55ad125661f33e2c3f005d2bfb603173fc,ref.finance,POOL,1661735978901808067
EwhBAA46M33KvkHH5STpMaREvgrUUxEd3xVAWFRgZpPM,ref-finance,wrapped-near,0.3490445864326606,3.926304977252688,243.40866,one-one.near,ref.finance,POOL,1661735968145682443
E5WYpoTQiHUxHEm5uEDN4wX7yyqqoEGdhTWwtbNJt8ba,wrapped-near,ref-finance,3.7743669623571368,0.36709782199783636,9813.3541,qwerfdsazxcv.near,ref.finance,POOL,1661735933789008455
HEb6HrYx7cmVVaDbn19J3JV8ukaYVzMZHJhBVpkpi5tH,wrapped-near,wrapped-bitcoin,3.7743669623571368,20276.905208378128,12.3397,686ff409d04aa214e20bcd8986bbcee5e145061f9a535bcad699df4f979824ba,ref.finance,POOL,1661735914030979963
